CODEPRA	MA	CroplandFraction	FodderlandFraction	NPGFraction	PGFraction	ForestFraction
95330	741,35	1	0	0	0	0
45342	78051	0,93671	0,00044842	0,0041639	0,0022934	0,056383
45339	44482	0,93478	0,0029001	0,0056877	0,0060924	0,050541
78342	8571	0,92377	0	0,0040836	0,00058337	0,071565
28342	218420	0,91823	0,00065471	0,0066891	0,0057642	0,068659
45341	36966	0,91546	0,000027052	0,0033815	0,0012444	0,079891
28341	66367	0,90964	0,000060271	0,0065996	0,0058463	0,077855
80035	135710	0,90112	0,010088	0,0038906	0,022157	0,06274
59325	22393	0,88885	0,017103	0,010316	0,044522	0,039206
32384	33140	0,88212	0,0053411	0,047647	0,027822	0,037074
77339	31590	0,8718	0,0023649	0,0024151	0,0018993	0,12152
77058	34810	0,86798	0,0055157	0,0071532	0,0075266	0,11182
62326	94231	0,86486	0,02947	0,0067918	0,045495	0,053383
59326	55584	0,86377	0,031843	0,0049115	0,063687	0,035791
62324	11838	0,86292	0,045952	0,013093	0,070364	0,0076698
02034	200310	0,86249	0,0068344	0,0065249	0,04851	0,075642
16371	6787,3	0,8573	0,0058426	0,019941	0,0047147	0,1122
41341	101870	0,85596	0,0015314	0,0057622	0,004064	0,13268
77329	30724	0,84687	0,00039057	0,00094388	0,010741	0,14105
31391	111310	0,84618	0,0073577	0,046033	0,016207	0,084224
36434	112890	0,84453	0,00067325	0,013235	0,010949	0,13061
77335	31874	0,84345	0,0001431	0,00098636	0,0042669	0,15115
86349	17483	0,84061	0,0093805	0,056398	0,011611	0,082003
69195	1350,4	0,83205	0	0,0014811	0,046654	0,11981
16375	5626	0,8311	0,002133	0,029861	0,051191	0,085716
77060	24984	0,83105	0,0050432	0,012488	0,020213	0,13121
10317	124750	0,82344	0,0018918	0,04962	0,0099561	0,1151
32385	63226	0,81447	0,0040489	0,078607	0,038876	0,063999
91342	47410	0,81096	0,00068596	0,0025201	0,0024678	0,18336
47398	29863	0,80249	0,0096777	0,06463	0,039816	0,083391
10015	20164	0,80153	0,0056537	0,043792	0,031492	0,11754
81391	38680	0,79812	0,014142	0,07849	0,04819	0,061056
51317	307500	0,79445	0,0029073	0,085957	0,010858	0,10583
77337	34858	0,7935	0,00088932	0,0043605	0,0094096	0,19184
78334	18891	0,7912	0,0018527	0,0068285	0,039913	0,16021
51018	32543	0,79056	0,00012791	0,091909	0,0067296	0,11067
17374	67544	0,78938	0,023555	0,038731	0,070103	0,078234
51016	45707	0,7867	0,0018159	0,084408	0,017809	0,10926
10335	16349	0,77941	0,0012845	0,033703	0,010704	0,1749
60327	169260	0,77746	0,034703	0,013358	0,071072	0,10341
62325	22864	0,77688	0,043693	0,021081	0,1121	0,046248
59025	55921	0,77317	0,085674	0,012875	0,11958	0,0087032
69199	13542	0,77112	0,012184	0,039432	0,065941	0,11132
10013	50876	0,77098	0,0020049	0,037699	0,016118	0,1732
82384	35212	0,76425	0,011331	0,082899	0,020505	0,12101
31390	47718	0,76417	0,012155	0,072635	0,027013	0,12403
82398	1283	0,76174	0,0070147	0,068589	0,054559	0,1081
68302	5012,6	0,76099	0,024937	0,034114	0,056457	0,1235
80327	173470	0,75962	0,043651	0,014141	0,05491	0,12768
08317	121290	0,75841	0,0065133	0,078852	0,10459	0,051634
77338	29379	0,75294	0,0014977	0,0047993	0,0067055	0,23406
60330	22999	0,75022	0,0020871	0,0036524	0,034698	0,20934
89317	27148	0,74841	0,0025785	0,016281	0,0045308	0,2282
77320	28639	0,74791	0,00097583	0,005833	0,0043297	0,24095
82385	5196,6	0,74464	0	0,027133	0,0096217	0,2186
65387	3411,3	0,74462	0,013191	0,088822	0,031366	0,122
77336	36552	0,74434	0,010451	0,010451	0,049929	0,18483
77056	7498,1	0,7441	0,005841	0,0038948	0,02734	0,21882
28334	74287	0,74267	0,0032172	0,0070806	0,023598	0,22343
28076	57599	0,74022	0,016094	0,019723	0,039133	0,18483
59026	26469	0,73441	0,067589	0,023953	0,093393	0,080657
60041	40311	0,73322	0,015157	0,0091785	0,052442	0,19
85370	10593	0,72843	0,029926	0,044275	0,18229	0,015078
39206	16611	0,72302	0,006078	0,018906	0,10216	0,14983
32147	110730	0,72229	0,0049128	0,12376	0,055612	0,093424
27078	59143	0,71856	0,022927	0,014321	0,061072	0,18312
79349	44413	0,71592	0,025623	0,090064	0,040979	0,12741
16367	1347,3	0,71457	0,000024074	0,020016	0,047502	0,21789
77045	3575,9	0,71084	0,0043337	0,012445	0,019296	0,25308
35099	5931,6	0,70798	0,068616	0,12644	0,084463	0,012496
