CODEPRA	MA	CroplandFraction	FodderlandFraction	NPGFraction	PGFraction	ForestFraction
02034	200310	0,86249	0,0068344	0,0065249	0,04851	0,075642
03178	225950	0,15354	0,022071	0,2335	0,39889	0,192
04460	279810	0,016956	0,0027519	0,032773	0,18908	0,75844
06250	209510	0,00071578	0,000052504	0,0014415	0,16547	0,83232
07171	259260	0,02241	0,0048753	0,030074	0,2181	0,72454
12411	221620	0,058482	0,0066825	0,21374	0,33309	0,388
18434	240000	0,70363	0,0024926	0,021863	0,057139	0,21488
21311	254130	0,33789	0,011463	0,033219	0,086138	0,53129
22359	203800	0,42707	0,17441	0,22082	0,039368	0,13834
23431	230120	0,050749	0,020641	0,10398	0,48233	0,34231
28342	218420	0,91823	0,00065471	0,0066891	0,0057642	0,068659
33378	230940	0,047789	0,00056724	0,00047198	0,0075992	0,94357
38199	218110	0,332	0,042111	0,059822	0,23265	0,33341
40378	319410	0,088722	0,0004884	0,0012147	0,0043048	0,90527
48418	248550	0,021983	0,00033394	0,080303	0,42699	0,47039
51317	307500	0,79445	0,0029073	0,085957	0,010858	0,10583
52314	252360	0,35838	0,021446	0,015482	0,10705	0,49764
53357	205130	0,22334	0,22051	0,27146	0,19911	0,085586
54306	214210	0,33514	0,04911	0,032109	0,25598	0,32766
55314	324950	0,3845	0,024749	0,012017	0,13636	0,44238
56363	207460	0,2631	0,13165	0,23959	0,06384	0,30182
58188	230000	0,20355	0,0077218	0,047322	0,36935	0,37205
70007	239770	0,26045	0,024073	0,037569	0,24386	0,43405
76046	209370	0,5263	0,09247	0,056767	0,21084	0,11362
85368	257090	0,32479	0,16389	0,32004	0,13334	0,057939
86438	243610	0,52954	0,025446	0,16293	0,071901	0,21018
87432	298270	0,072505	0,034703	0,19163	0,3163	0,38486
